customer_id,name,email,phone,city,country,signup_date
1,Holly Wilson,hannah52@santiago.net,+1-718-960-7441,West Elizabethside,Guyana,2024-07-19
2,Edward Williams,gmerritt@hardin.com,001-951-617-5288x09138,Perrymouth,Romania,2022-02-06
3,Jason Perez,andrewkline@yahoo.com,001-497-652-5595x1404,South Douglasfurt,Dominica,2024-01-09
4,Troy Smith,obean@hotmail.com,+1-754-948-3802x1142,New Vanessamouth,Gabon,2024-11-12
5,Joseph Ball,brooksgregory@bell.com,+1-058-283-0062,Kevinfort,Kazakhstan,2022-12-08
6,Stacey Cross,mcintoshelizabeth@duarte-myers.com,061.361.7074x56081,North Melanie,Algeria,2024-04-21
7,Andrew Sims,nicolesanchez@campbell.info,001-697-177-8418x46566,West Courtneyborough,Afghanistan,2020-08-27
8,Thomas Howe,hsanchez@gmail.com,+1-847-453-4659,Whitneyshire,Portugal,2023-02-03
9,Carl Chung,stevenharvey@yahoo.com,302-165-8659x285,Stevenborough,Bahamas,2023-11-29
10,Randy Anderson,andrew98@yahoo.com,8447438354,Gregorybury,French Polynesia,2025-07-20
11,William Clark,torreskatherine@franklin-martinez.info,201.064.9817x979,New Rachelmouth,Niue,2023-09-10
12,Jessica Bentley,vmalone@harris.com,001-903-459-3137x274,Paulview,Timor-Leste,2020-08-03
13,Todd Nunez,kwest@li-cameron.info,(427)444-3612,Perezfort,Peru,2024-06-07
14,Michelle Banks,alex64@hotmail.com,158.376.2649,Hannahville,India,2020-11-13
15,Robin Benson,anita35@yahoo.com,5492975403,Kelleyview,Chile,2023-05-06
16,Austin Booker,pparrish@gmail.com,904.009.9440x8117,Meganton,British Indian Ocean Territory (Chagos Archipelago),2024-04-01
17,Tracy Gonzalez,patelkristen@arnold.com,+1-148-927-4138x115,Hansenside,El Salvador,2022-07-19
18,Derrick Hayes,david46@nelson.com,001-487-107-2144x31849,Jeremyhaven,Saint Barthelemy,2022-10-16
19,Matthew Moore,hendersonmichael@yahoo.com,177-360-0174,West Dylanfort,Northern Mariana Islands,2021-05-16
20,Michael Flores,dhall@hotmail.com,351.299.7611,Port Laura,Finland,2022-04-16
21,James Johnson,joseph56@hotmail.com,001-512-741-8085x022,Davisport,Dominica,2021-09-02
22,Kathryn Burton,awilson@gmail.com,+1-190-188-7557x76501,Frankberg,Moldova,2021-05-22
23,Ryan Owens,hoovermichelle@craig-barry.com,+1-244-900-9576x2041,Stephensonton,Botswana,2024-03-09
24,Kelly Butler,ipayne@yahoo.com,894.198.6320x30250,East Jeffreymouth,Kuwait,2023-09-15
25,Dr. Elizabeth Dixon,burgessnicole@gmail.com,+1-305-961-3840,Padillafurt,Albania,2023-11-26
26,Steven Smith,johnsonanna@molina-reyes.com,718.175.6611x90181,South Adam,Algeria,2021-03-27
27,Danielle Miles,lpatel@anderson-vance.info,(833)680-5012x717,North Richard,Costa Rica,2021-09-20
28,Maxwell Thompson,xmorrison@mays.com,(120)748-7810x6773,Davisview,Korea,2022-10-01
29,Eileen Parker,watsonwilliam@gmail.com,+1-785-780-9453x9437,West Michaelmouth,Liberia,2023-10-26
30,Angela Fernandez,keithpeterson@rodriguez-acosta.com,(195)617-4645,Christymouth,Switzerland,2022-11-03
31,Jordan Marsh,petersfrederick@roman.com,336-080-5185,Port Kristen,Bermuda,2024-11-22
32,Michael Perez,brookswilliam@hotmail.com,5820526691,Amyborough,Bosnia and Herzegovina,2023-05-31
33,Steven Blevins,zmitchell@gmail.com,484-345-9717x70257,Kennedychester,Sweden,2024-02-25
34,Cody Sherman,katelynthomas@hotmail.com,(585)175-6192x490,Port Russell,Grenada,2024-09-24
35,Keith Gibson,wmiller@yahoo.com,058-279-6867,Kyleborough,British Indian Ocean Territory (Chagos Archipelago),2020-08-08
36,Sally Golden,victoriaparker@gmail.com,001-393-457-9184x667,New Robert,Reunion,2021-05-10
37,Timothy Gonzalez,sloanamy@gmail.com,001-656-893-4768x0999,North Kathryn,Mexico,2023-10-25
38,Alan Richardson,sharon40@phillips.com,(145)790-0463x10401,Alexanderburgh,Kuwait,2022-08-21
39,Karen Gray,usmith@smith.com,001-625-845-8752,Boothfurt,Bulgaria,2021-11-01
40,Catherine Gordon,zray@yahoo.com,505-811-7032x32124,West Kelly,Congo,2023-06-06
41,Kevin Vang,mjones@hernandez-long.com,(487)405-8211x93158,Roweberg,Iraq,2022-03-03
42,John Chavez,amanda56@mcfarland.com,(420)631-0007,South Nicholas,Iceland,2021-08-28
43,Jacob Brown,nruiz@yahoo.com,390-327-4875,New Alisonmouth,Kazakhstan,2022-02-05
44,Robert Walker,kramerjenny@sullivan-nelson.biz,001-079-089-3895x6408,Floresside,Saint Kitts and Nevis,2021-06-23
45,James Smith,ramosmarcus@yahoo.com,(008)042-6494x1239,Port Stacyburgh,Myanmar,2023-10-14
46,Rhonda Scott,johnathan69@hotmail.com,(643)228-9740,Lake Ryan,Morocco,2021-10-23
47,Mary Garcia,pjones@hotmail.com,118-469-8337x13084,Connerton,Togo,2023-12-30
48,John Caldwell,andrew88@yahoo.com,6975360404,South Michelle,Lesotho,2022-05-06
49,Timothy Kelly,hickmanpaul@garza.net,660.294.2123,Lake Lindaland,Peru,2022-07-28
50,Michelle Garcia,jgibbs@davidson-freeman.com,014-964-6779x2155,Andretown,Sweden,2023-05-28
51,Stuart Collins,vlawrence@mcgee-contreras.com,359-382-8258,South Sheila,Bhutan,2021-10-05
52,Phillip Graham,bryceduran@banks-thompson.com,(869)043-3165x835,South Raymouth,Vanuatu,2025-06-28
53,Mary Martinez,tnelson@shepherd.com,701-174-6066,Garymouth,Eritrea,2023-03-31
54,Alejandro Anderson,georgemurphy@mcguire.com,8286873668,Christianhaven,Israel,2023-07-14
